qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS,QD
0.50597,0.005,0.50078,0.501,0.0238323,0.04314727,-0.0,0.0,0.02383205,0.04314727,2.491438e-07,0.0,0.0,0.0,9.846352337376817e-37
0.50646,0.005,0.50128,0.5015,0.02383542,0.04335944,-0.0,0.0,0.02383518,0.04335944,2.473495e-07,0.0,0.0,0.0,8.90538839168124e-37
0.50696,0.005,0.50178,0.502,0.02383805,0.04357283,-0.0,0.0,0.0238378,0.04357283,2.45565e-07,0.0,0.0,0.0,8.054350538547479e-37
0.50745,0.005,0.50228,0.5025,0.02384085,0.04378747,-0.0,0.0,0.0238406,0.04378747,2.437904e-07,0.0,0.0,0.0,7.284644412156585e-37
0.50795,0.005,0.50278,0.503,0.02384382,0.04400325,-0.0,0.0,0.02384358,0.04400325,2.420255e-07,0.0,0.0,0.0,6.588497052119391e-37
0.50844,0.005,0.50328,0.5035,0.02384698,0.04422015,-0.0,0.0,0.02384674,0.04422015,2.402704e-07,0.0,0.0,0.0,5.958878394887882e-37
0.50894,0.005,0.50378,0.504,0.02385028,0.04443817,-0.0,0.0,0.02385004,0.04443817,2.385251e-07,0.0,0.0,0.0,5.389430269164933e-37
0.50943,0.005,0.50428,0.5045,0.02385376,0.04465729,-0.0,0.0,0.02385352,0.04465729,2.367895e-07,0.0,0.0,0.0,4.874402178044034e-37
0.50993,0.005,0.50478,0.505,0.02385823,0.0448767,-0.0,0.0,0.02385799,0.0448767,2.350635e-07,0.0,0.0,0.0,4.408593219165075e-37
0.51042,0.005,0.50528,0.5055,0.02386204,0.04509728,-0.0,0.0,0.0238618,0.04509728,2.333472e-07,0.0,0.0,0.0,3.987299556187936e-37
0.51092,0.005,0.50578,0.506,0.02386602,0.04531923,-0.0,0.0,0.02386579,0.04531923,2.316405e-07,0.0,0.0,0.0,3.6062669109624554e-37
0.51141,0.005,0.50628,0.5065,0.02387018,0.04554239,-0.0,0.0,0.02386995,0.04554239,2.299434e-07,0.0,0.0,0.0,3.2616475964987204e-37
0.51191,0.005,0.50678,0.507,0.02387452,0.04576672,-0.0,0.0,0.0238743,0.04576672,2.282559e-07,0.0,0.0,0.0,2.9499616567094364e-37
0.5124,0.005,0.50728,0.5075,0.023879,0.04599221,-0.0,0.0,0.02387878,0.04599221,2.26578e-07,0.0,0.0,0.0,2.668061720388609e-37
0.5129,0.005,0.50778,0.508,0.02388367,0.04621886,-0.0,0.0,0.02388344,0.04621886,2.249095e-07,0.0,0.0,0.0,2.4131012144059863e-37
0.51339,0.005,0.50828,0.5085,0.0238895,0.04644594,-0.0,0.0,0.02388928,0.04644594,2.232506e-07,0.0,0.0,0.0,2.1825056150387074e-37
0.51389,0.005,0.50878,0.509,0.02389449,0.04667378,-0.0,0.0,0.02389427,0.04667378,2.216011e-07,0.0,0.0,0.0,1.9739464470457975e-37
0.51438,0.005,0.50928,0.5095,0.02389965,0.04690323,-0.0,0.0,0.02389943,0.04690323,2.19961e-07,0.0,0.0,0.0,1.7853177678536453e-37
0.51488,0.005,0.50978,0.51,0.02390499,0.04713397,-0.0,0.0,0.02390477,0.04713397,2.183303e-07,0.0,0.0,0.0,1.6147148993210118e-37
0.51537,0.005,0.51028,0.5105,0.02391052,0.04736595,-0.0,0.0,0.02391031,0.04736595,2.16709e-07,0.0,0.0,0.0,1.4604151922588233e-37
0.51587,0.005,0.51078,0.511,0.02391617,0.04759913,-0.0,0.0,0.02391596,0.04759913,2.150971e-07,0.0,0.0,0.0,1.3208606294121157e-37
