q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.649,0.3079,1.1318,0.2933,3.4466,0.55719,14.204,0.59516
0.649,0.3384,1.2087,0.32468,2.3188,0.6037,14.389,0.59639
0.649,0.36876,1.2871,0.356,4.5245,1.0433,13.293,1.0549
0.649,0.39498,1.3564,0.38312,3.852,1.0169,17.076,0.90514
0.649,0.41745,1.4168,0.40641,4.7637,1.6703,19.391,1.5469
0.649,0.44312,1.487,0.43306,5.7057,1.8664,21.894,1.3903
0.649,0.48074,1.5924,0.47224,4.8261,3.2802,24.361,2.2158
0.649,0.56506,1.8388,0.5605,5.4987,2.9238,24.224,1.251
0.756,0.092185,0.49031,0.067,0.072834,0.011244,0.27847,0.018075
0.756,0.11135,0.53017,0.086339,0.21452,0.015549,0.4304,0.023326
0.756,0.12926,0.5681,0.10445,0.20606,0.035001,0.99181,0.037805
0.756,0.14568,0.60343,0.12107,0.30445,0.047483,1.6483,0.076623
0.756,0.15934,0.63322,0.13491,0.36328,0.059827,2.3962,0.090726
0.756,0.17256,0.66241,0.14832,0.59422,0.066828,3.2263,0.096133
0.756,0.18997,0.7014,0.16602,0.87083,0.10295,4.6441,0.12954
0.756,0.20939,0.74559,0.18578,1.1907,0.13732,6.5249,0.1632
0.756,0.23087,0.79537,0.20769,1.6087,0.22476,8.6774,0.26881
0.756,0.25233,0.846,0.22961,2.6081,0.23035,9.5486,0.27678
0.756,0.27131,0.89155,0.24904,2.7526,0.30334,11.081,0.33299
0.756,0.31142,0.9902,0.29019,2.6065,0.23246,12.194,0.26785
0.756,0.34997,1.088,0.32989,2.2594,0.41606,11.705,0.41901
0.756,0.36731,1.133,0.34778,2.3704,0.38305,10.872,0.38533
0.756,0.39337,1.2017,0.37473,2.101,0.28608,10.955,0.28162
0.756,0.53469,1.5981,0.52191,2.2572,0.60298,21.779,0.36698
0.991,0.2444,0.41663,0.20314,0.078834,0.039707,0.24826,0.069205
0.991,0.27775,0.49664,0.23727,0.038642,0.043274,0.72367,0.07399
0.991,0.31071,0.57788,0.2711,0.14085,0.039131,1.364,0.06429
0.991,0.34415,0.66252,0.30551,0.4731,0.057095,2.3066,0.088931
0.991,0.36823,0.72487,0.33037,0.59795,0.071727,3.3506,0.10296
0.991,0.38963,0.78124,0.35249,0.97295,0.10558,3.9311,0.16172
0.991,0.41185,0.84076,0.37551,1.1337,0.096065,4.7753,0.13811
0.991,0.43223,0.89619,0.39666,1.0872,0.14148,5.6807,0.2022
0.991,0.45381,0.95583,0.4191,0.97632,0.15107,6.4406,0.21564
0.991,0.47334,1.0106,0.43943,0.94101,0.16143,6.6814,0.22779
0.991,0.49335,1.0675,0.46031,0.94479,0.15789,6.8864,0.21298
0.991,0.51314,1.1245,0.48099,1.1231,0.14299,6.7127,0.17381
0.991,0.53271,1.1817,0.50147,0.84814,0.17582,7.3242,0.22115
0.991,0.55299,1.2418,0.52274,1.6926,0.14769,6.5182,0.17637
0.991,0.57536,1.309,0.54624,1.9348,0.23326,7.1664,0.28353
0.991,0.60102,1.3873,0.57325,1.8534,0.21223,8.4321,0.23626
0.991,0.6204,1.4474,0.59369,1.9156,0.31426,9.3298,0.34342
0.991,0.6374,1.5007,0.61165,2.1155,0.34226,10.235,0.3653
0.991,0.65557,1.5583,0.63087,2.3504,0.28403,11.028,0.28094
0.991,0.67469,1.6196,0.65112,3.5377,0.46185,11.008,0.44305
0.991,0.69646,1.6903,0.67423,3.6533,0.41106,11.988,0.36334
0.991,0.71966,1.7666,0.69889,3.0061,0.56613,13.105,0.41952
0.991,0.74224,1.842,0.72295,3.2209,0.66359,13.935,0.46236
0.991,0.76312,1.9127,0.74524,3.9414,0.9122,14.417,0.60102
0.991,0.7854,1.989,0.76906,3.4573,1.2087,16.073,0.76655
0.991,0.80925,2.0718,0.79461,5.0059,1.1127,16.835,0.5951
0.991,0.84326,2.1918,0.83113,11.12,1.8371,17.535,0.8705
1.619,0.97127,1.0252,0.89622,0.23235,0.069701,1.3884,0.077599
1.619,0.99953,1.1339,0.92698,0.15338,0.082189,1.7585,0.087606
1.619,1.0236,1.2278,0.95322,0.21482,0.11115,1.9821,0.11647
1.619,1.0439,1.3078,0.9754,0.24812,0.12499,2.2178,0.127
1.619,1.0688,1.4073,1.0027,0.17193,0.12716,2.6987,0.1229
1.619,1.0985,1.5272,1.0352,0.58514,0.14933,2.8727,0.13827
1.619,1.1277,1.6471,1.0673,0.83221,0.18,3.302,0.15494
1.619,1.1518,1.747,1.0938,0.87079,0.20143,3.8849,0.17561
1.619,1.1662,1.8078,1.1098,1.0505,0.30323,4.1851,0.25955
1.619,1.1806,1.8683,1.1257,1.0836,0.29914,4.6127,0.25124
1.619,1.3134,2.4487,1.2733,4.8569,0.43714,8.948,0.24354
1.619,1.3223,2.4891,1.2833,5.1463,0.49623,9.4922,0.26013
1.619,1.3351,2.547,1.2976,6.4653,0.47386,9.8015,0.21983
1.619,1.3479,2.6055,1.3119,6.7623,0.58337,10.567,0.26797
1.619,1.3569,2.6467,1.322,7.2764,0.66144,11.016,0.29529
1.619,1.3659,2.6878,1.3321,8.1532,0.7022,11.475,0.30607
1.619,1.3747,2.7288,1.342,8.6019,0.69838,12.092,0.30173
1.619,1.387,2.7857,1.3558,8.9402,0.88264,13.249,0.36042
1.619,1.3997,2.8449,1.3701,10.256,0.82192,13.91,0.28633
1.619,1.4094,2.8904,1.381,11.191,0.96038,14.445,0.36183
1.619,1.4241,2.9596,1.3976,15.058,1.1433,14.722,0.32041
1.619,1.4405,3.0376,1.4161,16.101,1.3413,16.296,0.30578
1.619,1.4555,3.1092,1.4331,18.866,1.4965,17.283,0.33744
1.619,1.4763,3.209,1.4566,24.153,2.0145,18.704,0.43681
1.619,1.4969,3.309,1.4799,36.989,3.7226,19.086,0.8696
1.619,1.5253,3.4481,1.5121,52.223,5.4306,21.84,0.82593
1.619,1.5815,3.728,1.5761,141.24,18.062,28.431,1.065
1.921,1.0408,0.22665,0.92423,0.014194,0.0042853,0.059504,0.0056355
1.921,1.1025,0.47467,0.99185,0.027148,0.0033259,0.18493,0.0033515
1.921,1.1326,0.5981,1.0249,0.040838,0.0043771,0.28656,0.0047596
1.921,1.1579,0.70358,1.0528,0.067675,0.0068011,0.38432,0.0070247
1.921,1.1769,0.78367,1.0738,0.0765,0.0077069,0.47167,0.0077358
1.921,1.1907,0.84231,1.0891,0.075099,0.0095229,0.54349,0.0095856
1.921,1.2045,0.90105,1.1043,0.14502,0.012716,0.57767,0.010037
1.921,1.2184,0.96081,1.1197,0.14275,0.016705,0.67156,0.013157
1.921,1.2285,1.0048,1.131,0.17165,0.016607,0.7062,0.01257
1.921,1.2381,1.0462,1.1415,0.17706,0.018608,0.76292,0.015777
1.921,1.2475,1.0872,1.152,0.20748,0.020705,0.82204,0.016919
1.921,1.2566,1.1272,1.1622,0.19074,0.02186,0.88868,0.017657
1.921,1.2691,1.1821,1.176,0.25309,0.022698,0.94098,0.016403
1.921,1.2819,1.2389,1.1903,0.30044,0.026771,1.0284,0.018122
1.921,1.2917,1.2827,1.2013,0.27671,0.028494,1.1282,0.020886
1.921,1.3013,1.3253,1.2119,0.25904,0.030935,1.236,0.02286
1.921,1.3105,1.3666,1.2222,0.31869,0.03163,1.2868,0.023685
1.921,1.3228,1.4224,1.2361,0.40618,0.029852,1.3564,0.021057
1.921,1.3358,1.4813,1.2506,0.41051,0.03908,1.5345,0.026271
1.921,1.349,1.5414,1.2653,0.49662,0.036707,1.6361,0.023567
1.921,1.3622,1.6017,1.2801,0.55987,0.055284,1.7856,0.038643
1.921,1.3752,1.6618,1.2947,0.57749,0.047215,1.9954,0.030543
1.921,1.3883,1.7226,1.3094,0.68263,0.061407,2.1663,0.041162
1.921,1.4014,1.7838,1.3242,0.80571,0.061062,2.3441,0.03264
1.921,1.414,1.8431,1.3384,0.84248,0.073113,2.6362,0.040966
1.921,1.4265,1.9017,1.3524,0.948,0.070206,2.8385,0.039648
1.921,1.4386,1.9594,1.3661,1.1591,0.082067,3.0404,0.037574
1.921,1.4479,2.0036,1.3766,1.2107,0.098001,3.272,0.052364
1.921,1.4607,2.065,1.3911,1.3464,0.10319,3.5445,0.044218
1.921,1.4769,2.1428,1.4094,1.7305,0.12332,3.8633,0.051721
1.921,1.4931,2.2215,1.4278,2.2543,0.19495,4.238,0.062634
1.921,1.5136,2.3216,1.451,2.9305,0.25173,4.7587,0.073871
1.921,1.5344,2.4239,1.4747,2.9342,0.23948,5.5792,0.086834
1.921,1.5545,2.5239,1.4976,3.459,0.26336,6.3055,0.082175
1.921,1.5781,2.6418,1.5244,4.9033,0.32861,6.9503,0.090429
1.921,1.5979,2.742,1.547,5.3791,0.31891,7.8465,0.12201
1.921,1.6103,2.8051,1.5612,6.1225,0.35431,8.3196,0.13001
1.921,1.6227,2.8682,1.5754,6.0505,0.3934,9.1111,0.13867
1.921,1.6382,2.9478,1.5931,7.9368,0.40094,9.5286,0.13845
1.921,1.6498,3.0077,1.6064,8.7729,0.52313,10.009,0.19312
1.921,1.6611,3.0663,1.6194,9.8292,0.51903,10.525,0.18609
1.921,1.6726,3.1263,1.6326,10.216,1.3697,11.397,0.49343
1.921,1.6843,3.1876,1.6461,10.409,0.75869,12.414,0.25247
1.921,1.6957,3.2477,1.6593,12.146,0.79232,12.955,0.22789
1.921,1.7069,3.3067,1.6721,12.439,0.77149,13.932,0.21058
1.921,1.7182,3.3666,1.6852,14.293,1.0277,14.525,0.26828
1.921,1.7294,3.4264,1.6981,16.729,1.0024,15.104,0.2612
1.921,1.7407,3.4868,1.7112,19.002,1.1298,15.787,0.28519
