Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),Ex
6,12,0.25,40,0.031281316,244100,7323,16,0.698131701,0.116977778,0.02998
6,12,0.25,40,0.031491316,239200,7176,16,0.698131701,0.116977778,0.03019
6,12,0.25,40,0.031721316,241000,7230,16,0.698131701,0.116977778,0.03042
6,12,0.25,40,0.031921316,235200,7056,16,0.698131701,0.116977778,0.03062
6,12,0.25,40,0.032131316,231500,6945,16,0.698131701,0.116977778,0.03083
6,12,0.25,40,0.032321316,229000,6870,16,0.698131701,0.116977778,0.03102
6,12,0.25,40,0.032531316,227400,6822,16,0.698131701,0.116977778,0.03123
6,12,0.25,40,0.032741316,227300,6819,16,0.698131701,0.116977778,0.03144
6,12,0.25,40,0.032961316,223300,6699,16,0.698131701,0.116977778,0.03166
6,12,0.25,40,0.033181316,215200,6456,16,0.698131701,0.116977778,0.03188
6,12,0.25,40,0.033391316,206900,6207,16,0.698131701,0.116977778,0.03209
6,12,0.25,40,0.033571316,206600,6198,16,0.698131701,0.116977778,0.03227
6,12,0.25,40,0.033801316,211000,6330,16,0.698131701,0.116977778,0.0325
6,12,0.25,40,0.034001316,212800,6384,16,0.698131701,0.116977778,0.0327
6,12,0.25,40,0.034211316,212800,6384,16,0.698131701,0.116977778,0.03291
6,12,0.25,40,0.034421316,210700,6321,16,0.698131701,0.116977778,0.03312
6,12,0.25,40,0.034621316,209800,6294,16,0.698131701,0.116977778,0.03332
6,12,0.25,40,0.034841316,210100,6303,16,0.698131701,0.116977778,0.03354
6,12,0.25,40,0.035051316,208500,6255,16,0.698131701,0.116977778,0.03375
6,12,0.25,40,0.035231316,208000,6240,16,0.698131701,0.116977778,0.03393
6,12,0.25,40,0.035441316,211600,6348,16,0.698131701,0.116977778,0.03414
6,12,0.25,40,0.035651316,209400,6282,16,0.698131701,0.116977778,0.03435
6,12,0.25,40,0.035871316,208600,6258,16,0.698131701,0.116977778,0.03457
6,12,0.25,40,0.036101316,204000,6120,16,0.698131701,0.116977778,0.0348
6,12,0.25,40,0.036291316,201900,6057,16,0.698131701,0.116977778,0.03499
6,12,0.25,40,0.036511316,196800,5904,16,0.698131701,0.116977778,0.03521
6,12,0.25,40,0.036711316,196200,5886,16,0.698131701,0.116977778,0.03541
6,12,0.25,40,0.036921316,195900,5877,16,0.698131701,0.116977778,0.03562
6,12,0.25,40,0.037141316,193400,5802,16,0.698131701,0.116977778,0.03584
6,12,0.25,40,0.037351316,194100,5823,16,0.698131701,0.116977778,0.03605
6,12,0.25,40,0.037551316,191900,5757,16,0.698131701,0.116977778,0.03625
6,12,0.25,40,0.037751316,193900,5817,16,0.698131701,0.116977778,0.03645
6,12,0.25,40,0.037971316,195700,5871,16,0.698131701,0.116977778,0.03667
6,12,0.25,40,0.038181316,195800,5874,16,0.698131701,0.116977778,0.03688
6,12,0.25,40,0.038381316,195000,5850,16,0.698131701,0.116977778,0.03708
6,12,0.25,40,0.038581316,188500,5655,16,0.698131701,0.116977778,0.03728
6,12,0.25,40,0.038791316,188300,5649,16,0.698131701,0.116977778,0.03749
6,12,0.25,40,0.039001316,185600,5568,16,0.698131701,0.116977778,0.0377
6,12,0.25,40,0.039201316,194500,5835,16,0.698131701,0.116977778,0.0379
6,12,0.25,40,0.039381316,196100,5883,16,0.698131701,0.116977778,0.03808
6,12,0.25,40,0.039591316,203000,6090,16,0.698131701,0.116977778,0.03829
6,12,0.25,40,0.039811316,198200,5946,16,0.698131701,0.116977778,0.03851
6,12,0.25,40,0.040021316,200000,6000,16,0.698131701,0.116977778,0.03872
6,12,0.25,40,0.040231316,193400,5802,16,0.698131701,0.116977778,0.03893
6,12,0.25,40,0.040411316,190000,5700,16,0.698131701,0.116977778,0.03911
6,12,0.25,40,0.040631316,185300,5559,16,0.698131701,0.116977778,0.03933
6,12,0.25,40,0.040831316,183600,5508,16,0.698131701,0.116977778,0.03953
