Z,A,theta,E0,Ex,dataSet,cross,error,nu
6,12,155,0.071,0.0229,Ricco: 1968,17927.60898,951.7524382,0.023749418
6,12,155,0.071,0.0231,Ricco: 1968,16386.25032,784.6201411,0.023949418
6,12,155,0.071,0.0234,Ricco: 1968,15308.24363,746.1704938,0.024249418
6,12,155,0.071,0.0236,Ricco: 1968,18319.3232,784.5526856,0.024449418
6,12,155,0.071,0.0238,Ricco: 1968,18011.99584,874.5158661,0.024649418
6,12,155,0.071,0.0241,Ricco: 1968,16342.2918,874.6507771,0.024949418
6,12,155,0.071,0.0244,Ricco: 1968,14672.45285,707.2486579,0.025249418
6,12,155,0.071,0.0246,Ricco: 1968,14056.6514,784.6875966,0.025449418
6,12,155,0.071,0.0249,Ricco: 1968,13364.28792,810.34318,0.025749418
6,12,155,0.071,0.0252,Ricco: 1968,13032.45173,488.8051941,0.026049418
6,12,155,0.071,0.0255,Ricco: 1968,12790.51126,630.0795413,0.026349418
6,12,155,0.071,0.0258,Ricco: 1968,14027.44315,797.279294,0.026649418
6,12,155,0.071,0.0261,Ricco: 1968,13438.37657,758.8296467,0.026949418
6,12,155,0.071,0.0263,Ricco: 1968,13761.26367,835.9987633,0.027149418
6,12,155,0.071,0.0264,Ricco: 1968,13967.99236,694.5220495,0.027249418
6,12,155,0.071,0.0265,Ricco: 1968,12836.92066,668.7990107,0.027349418
6,12,155,0.071,0.0267,Ricco: 1968,12593.49616,746.2379494,0.027549418
6,12,155,0.071,0.0269,Ricco: 1968,10396.33492,604.558869,0.027749418
6,12,155,0.071,0.0273,Ricco: 1968,11916.75989,707.4510245,0.028149418
6,12,155,0.071,0.0276,Ricco: 1968,12613.37306,771.8260772,0.028449418
6,12,155,0.071,0.0278,Ricco: 1968,11895.01672,758.9645577,0.028649418
6,12,155,0.071,0.0282,Ricco: 1968,11434.70024,733.3764299,0.029049418
6,12,155,0.071,0.0284,Ricco: 1968,10279.38953,733.1740634,0.029249418
6,12,155,0.071,0.0287,Ricco: 1968,10705.91079,681.6605301,0.029549418
6,12,155,0.071,0.0292,Ricco: 1968,10259.40021,720.3125439,0.030049418
6,12,155,0.071,0.0296,Ricco: 1968,10044.0597,656.2747688,0.030449418
6,12,155,0.071,0.03,Ricco: 1968,10805.78993,668.9339217,0.030849418
6,12,155,0.071,0.0305,Ricco: 1968,9575.131398,643.2108828,0.031349418
6,12,155,0.071,0.0319,Ricco: 1968,9148.565165,604.4914135,0.032749418
6,12,155,0.071,0.0334,Ricco: 1968,10587.59381,681.7279856,0.034249418
6,12,155,0.071,0.0349,Ricco: 1968,9982.113044,733.1066078,0.035749418
6,12,155,0.071,0.0364,Ricco: 1968,8771.53377,694.5220495,0.037249418
6,12,155,0.071,0.0379,Ricco: 1968,9503.111386,784.4177745,0.038749418
6,12,155,0.071,0.0393,Ricco: 1968,9385.491442,733.2415189,0.040149418
6,12,155,0.071,0.0407,Ricco: 1968,7377.430507,784.7550521,0.041549418
